Reference, Value, Footprint, Datasheet, Farnell ID, Legend, FarnellId
U1,XC6210,TO_SOT_Packages_SMD.pretty:SOT-23-5,
C1,1uF,Capacitors_SMD.pretty:C_0805_HandSoldering,
C2,1uF,Capacitors_SMD.pretty:C_0805_HandSoldering,
U3,MS5637,Parts:MS5637,
J1,MicroSD,Parts:DM3CS-SF,
R9,2.2k,Resistors_SMD.pretty:R_0805_HandSoldering,
R10,2.2k,Resistors_SMD.pretty:R_0805_HandSoldering,
MOD1,RFM_9xW,Parts:RFM9xW,
R4,47k,Resistors_SMD.pretty:R_0805_HandSoldering,
R5,47k,Resistors_SMD.pretty:R_0805_HandSoldering,
R6,47k,Resistors_SMD.pretty:R_0805_HandSoldering,
R7,47k,Resistors_SMD.pretty:R_0805_HandSoldering,
R8,47k,Resistors_SMD.pretty:R_0805_HandSoldering,
ANT1,ANT,Parts:ANT_50ohm,
D1,LED,Parts:CONN_JST,,KPH-1608SGC,PWR,
D2,LED,william-parts:KingbrightKPTL-3216QBC-D-01,,,SD/GPS,KPTL-3216QBC-D-01
D3,LED,william-parts:KingbrightKPTL-3216QBC-D-01,,,TX/RX,KPTL-3216QBC-D-01
R1,470,Resistors_SMD.pretty:R_0805_HandSoldering,
R2,470,Resistors_SMD.pretty:R_0805_HandSoldering,
R3,470,Resistors_SMD.pretty:R_0805_HandSoldering,
P1,CONN_01X04,william-parts:quadruple_pads,
P13,CONN_01X02,william-parts:double_pads,
P2, ,william-parts:single_pad,
P3, ,william-parts:single_pad,
P4, ,william-parts:single_pad,
P5, ,william-parts:single_pad,
U2,Teensy_LC,william-parts:Teensy-LC,
P12, ,william-parts:single_pad,
P11, ,william-parts:single_pad,
P10, ,william-parts:single_pad,
P9, ,william-parts:single_pad,
P6, ,william-parts:single_pad,
P7, ,william-parts:single_pad,
P8, ,william-parts:single_pad,
